tweet;correctLabel;predictedLabel
shouldbeaninterestinggame;lang1 other lang1 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang2 lang2 other lang2 lang2 lang1 lang1 ;other other other lang2 lang2 lang2 lang2 lang2 lang1 other lang2 lang2 other lang2 lang2 other  
@fartonmyfaceplzyomommarequestedme!i'mscaredd:;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 lang1 lang1 other ne lang1 lang1 other other ne other lang1 other  
@deeeezzzzzznamed**;1 lang2 lang1 lang1 other lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 other lang1 ;other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 ne lang2  
iwasgonnastartanewdietbutiforgotiwasgonnabeeatingcakeandcarnitaseveryweekend(;lol;lang2 lang2 lang2 lang2 lang2 ne lang1 lang2 other lang1 lang2 lang2 lang2 lang1 ne lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other  
@cribhood10sikierohomie;b;lang2 lang1 lang2 lang1 lang2 lang2 lang2 other lang1 lang2 lang2 lang1 lang2 lang2 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@cribhood10eskeyoubewithyourfriendsinokieromolestar;lang2 lang2 lang1 lang1 lang2 lang2 lang2 lang2 other lang2 lang1 lang2 lang1 lang2 lang2 1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other  
eltiempoapasadoinoehpodidoolvidarte.;other lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang1 lang1 other lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
likejuststopmuyapenasidejoamisisteruseitcx;other ne lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang1 lang1 lang1 ;other lang2 lang2 ne other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 other  
nopossitruthhurts.;other lang1 lang1 lang1 lang2 lang1 lang2 lang2 lang2 lang1 other lang2 1 other lang2 other lang1 ;other lang1 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang1  
minewfriendesdezacatecas(;;other lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 ne lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1  
@opablo81lolcxtambienyourscx!;lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang1 other lang1 lang2 lang2 lang1 lang2 other lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 other lang1  
dicenquelosborrachossiempredicenlaverda(;;1 other lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang1 ;other other lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang1  
shedidnothavemyback/.~nomames;lang1 lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
yameromevavenirdejandomimomcx;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
likeabreloshojosmija/.-;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang2 lang1 lang1 other lang2 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1  
iwaslikeyourluckyandasbailandoconunadeguanajuato(;lmfao;1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1  
queverguensacxlol;lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other  
megustaandarporlasierra(;;lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other  
meacesentirlonelycxlol;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
nomellegeconlatortalmao;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
pablobebsme;lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
ihategettingfeelingsforjustincuzhisjustadamnplayaaaa;other lang2 lang2 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
itengohambre;other lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
letmehollaacx;lang1 lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
“@mfchapo:tacobellisnastywiththeirfakeasstacos.”;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 other lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other  
@martin3zz10paraesoexistenlastiendas;bhaha;1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
“@vianeyaide2:tuyyotirandoelroll,tomandobucanitas..nosepiensalo”;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
likemejornomeilusionen!;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
siesnecesarioastamesalgoporlawindownomeimporta;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
eljuegonomaseradeunaweekohquepedo?/.-;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
fuckthiselquesigue(:!;other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 other other  
@chelita1123lmaoyalosaviacualsikeniquenada;other lang2 lang2 lang1 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 other lang1 ;other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 other  
parairalmallaya(;;other 1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 other lang1 ;other other lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@martin3zz10esokresc;haha;other lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 other lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 other  
@chelita1123@princessstacy_lmaoiwouldperoyouknowidon'twanthimtothinki'mweirdsoyesaydespues(;;1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 ambiguous other lang1 ;other lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@chelita11235.1?letmehollalmaoo;other lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 ;other lang2 lang2 lang2 other lang2 other lang2 lang2 lang2 lang2 lang2 other other other other  
likenomelotienenquedeciryoyasecomoacerlo;lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
idon'tthinki'veeverbeenthisexcitedtowatchtv!#svu#chicagopd#ahhhhh#lifecomplete;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 ;ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1  
@lesambamchurrrwelcoooommmmmchimisssjijijilahhhyuuuu;1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
aniggagottaworkinthemorning!!!stfuandgotosleepdumbassreagandipshits!heywhatdouknowthey'releaving#finallylol;lang1 lang2 lang1 lang1 lang1 lang2 lang1 ne lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1  
icann'tstandahoeonatvshowthatsayi'mhispanicori'mlatino..bitchyouamexican!saythatshit!-spm;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne  
@jason100fireslmaosmokesumcuhhhloljk;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 ne lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other  
@coilegefessions@bigneechiyoubettawarnyourfriendsat#txst...:olmfao;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 other lang2 lang1 lang1 lang1 lang1 lang2 lang2 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang2 lang1 lang1 lang1 lang1 lang1 lang2  
desdeeldiaquetefuistetengoelalmamasquetriste...nosedejarteenelolvido..nose..notengovalor..sintinoseniquiensoy..;other lang1 lang1 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;other lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2  
yarribadurangopaisano!!!;d;lang1 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang2 lang1 lang1 lang1 lang1 other  
@lesambam@brissamayenghettofabu-louuusssloljk;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 ;lang1 ne lang1 lang1 lang1 lang2 lang1 lang1 lang1 other other lang1 ambiguous lang1 lang1 other  
ysitevuelvoaver...tejuroqueatuspiesvuelvoacaer...shikititaaaaa;)!!!!yvamonospadurangooigaaaa!!!jajaaiiiihijuesuuu;d;lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 lang1 ;other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@brissamayenofcourseherghettoasswouldput23onthere-.-weakasshood!nunbutthatjohnsoverhere!!fivedeuceeelmaojkjkhahaeww;lang1 lang2 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
gotaniggagoinlike"yesmastaaahhhwhatevayousaymastahhh!!dobbyyywillobeyyy"lol;lang2 lang2 lang2 lang1 lang2 lang2 lang2 other lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang1 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
mywholefamilylovesmygf..sometimesithinktheylovehermorethanmelol;lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 lang1 lang2 other other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other other  
pandoraisonaroll!!!thatbitchmakingmysundayperfect:dnowifshecouldonlyplaythismusicwheni'mworking-.-;lang2 lang2 lang1 lang2 lang2 lang2 other lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang2 other lang1 ;lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
hastaeldiadehoy..yoteamenoloniego..hastaeldiadhoyxkyamecansedesersiempretujuego..ktperdonediosxkyoyanopuedo;lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang2 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@rosie_amandacreep!lolololjk;lang2 lang2 lang1 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang2 other lang2 lang2 other  
takingbabystepsthough..1stigottafixmybby..thenmakesome$$$,thensellmybby:'(soicangetthekingranchorlariatedition:);lang1 lang1 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other other  
yosequenotefaltaquientequieraamar..;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 ne lang1 lang1 lang1 lang1 other  
whythefuckwouldutestsomeonewhohas0toleranceforbs...digginyourselfinyourownditch...;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 1 lang1 ;lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other  
teditododmiyfuimalcorrespondido..enfinmedixvencidoytemandealolvidoxknomerecesserfelizdespuesdeavermehechosufrir;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 lang1 other lang1 ;lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other  
ilovemyjobbutdamnihatedrvinginroundrock....toomanydamncopseverywhereeee-.-;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne ne lang1 other lang1  
canijusthaveanewf150plz;lang1 lang1 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
i'mlikehalfadleepontwittet;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other  
seahawks!!!!;lang1 other lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang1 lang1 lang1 lang1 ;other other other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other other other  
mannnnfuckobama!!!;lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
@devinwilliams_1hopetoseeyouplayonthatdkrfootballfieldoneday!abigstageforabigplaymaker!#hookem;other 1 lang2 lang2 lang2 other lang2 lang1 lang2 other lang2 lang2 lang2 lang1 lang1 other lang1 ;other other lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang1 lang1 other  
fuckthegrammy's!!!thatshit'sforpussies!loliratherwatchthenflpro-bowl!#teamsanders;lang1 lang1 lang2 lang1 lang1 lang1 lang1 other lang1 lang1 1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 mixed lang1 lang1 lang2 lang2 other lang1 lang1 ne lang2 lang1 lang1 lang1 other  
@ridealong"yeahhbutyouknowwhati'mgo'ndo..grow!what'chugo'ndostretch!?"ialmostdiedwhenthelildudesaidthattokevin!xd;1 other lang1 lang2 lang2 lang2 lang2 lang2 other lang1 lang2 lang1 lang1 lang1 lang2 lang1 lang1 ;other lang1 lang1 lang1 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang2 lang2 other  
ppldefendingthatedgartamayoguywhogotexecutedbythelovelystateoftexasforkillingalawenforcementofficerdumbaf!-.-;lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang2 lang2 lang2 lang2 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 other  
@sanluispotoyeesletsgotopluckers:);1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang2 lang2 lang2 ne lang1 ;other lang1 lang1 lang1 other lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2  
@sanluispotoyeesyoufakeeeeforcallingmefakeeeloli'mcallingyououtforbeingfakecuhhlmao;lang1 lang2 1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 1 lang1 ;lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@sanluispotoyeesyosiempre!asisomoslosdedurango;);lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@monimaravilla19lmfaoxd;1 1 1 other lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;other other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@audreyy_torrespossiyanihablasxfb:/;1 1 lang1 lang1 other lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
iwantatoasterstrudel!ihaven'thadonesinceelementaryschool/(0.0)\;lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1  
myweakness:whisperinginmyear...;)#turnon#weak#freak;lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@ibrandx_youknowyouaboutthat"pointybootlife""chuntiiiswaggg"loljk;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@poonaf_2texasneedsyourtalentaswerebuild!youwoulddefinitelystandout!#hookem;other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@omar_s123eresunoyooo:(noseasojetepasateunashoritaspa'kaaacochooololjk;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@foxaustintheydoitinmexico!surewhynot!?lolmyunclebuilthis2-storyhouseoffofbeer!(:hardestworkingguysieversawhaha;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
